debug: nixos_rebuild.process: calling run with args=['nix', '--extra-experimental-features', 'nix-command flakes', 'build', '--print-out-paths', '/home/netscape/nixos-dotfiles#nixosConfigurations."Trinity".config.system.build.nixos-rebuild', '-v', '--no-link'], kwargs={'stdout': -1}, env=None, append_local_env=None
evaluating derivation 'git+file:///home/netscape/nixos-dotfiles#nixosConfigurations."Trinity".config.system.build.nixos-rebuild'...
 Invocation: ae21e458928f4d0296e29c1d9d542b7c
    Process: 1291189 ExecStart=/nix/store/029g69vs1qf2fcpqlfcv5qgfyp45yv41-hm-setup-env /nix/store/5y0gp6078dadnl0lpkq0lnvljnqkp4f5-home-manager-generation (code=exited, status=1/FAILURE)
   Main PID: 1291189 (code=exited, status=1/FAILURE)
         IP: 0B in, 0B out
         IO: 0B read, 0B written
   Mem peak: 14.8M
        CPU: 146ms

May 31 17:28:04 Trinity hm-activate-netscape[1291296]: - In standalone mode, use 'home-manager switch -b backup' to back up files automatically.
May 31 17:28:04 Trinity hm-activate-netscape[1291296]: - When used as a NixOS or nix-darwin module, set either
May 31 17:28:04 Trinity hm-activate-netscape[1291296]:   - 'home-manager.backupFileExtension', or
May 31 17:28:04 Trinity hm-activate-netscape[1291296]:   - 'home-manager.backupCommand',
May 31 17:28:04 Trinity hm-activate-netscape[1291296]:   to move the file to a new location in the same directory, or run a custom command.
May 31 17:28:04 Trinity hm-activate-netscape[1291296]: - Set 'force = true' on the related file options to forcefully overwrite the files below. eg. 'xdg.configFile."mimeapps.list".force = true'
May 31 17:28:04 Trinity hm-activate-netscape[1291296]: Existing file '/home/netscape/.config/nvim/init.lua' would be clobbered
May 31 17:28:04 Trinity systemd[1]: home-manager-netscape.service: Main process exited, code=exited, status=1/FAILURE
May 31 17:28:04 Trinity systemd[1]: home-manager-netscape.service: Failed with result 'exit-code'.
May 31 17:28:04 Trinity systemd[1]: Failed to start Home Manager environment for netscape.
Traceback (most recent call last):
  File "/nix/store/0ppazc3p1kv2xly0syps868hzz7kjygb-nixos-rebuild-ng-26.05/lib/python3.13/site-packages/nixos_rebuild/__init__.py", line 400, in main
    execute(sys.argv)
    ~~~~~~~^^^^^^^^^^
  File "/nix/store/0ppazc3p1kv2xly0syps868hzz7kjygb-nixos-rebuild-ng-26.05/lib/python3.13/site-packages/nixos_rebuild/__init__.py", line 363, in execute
    services.build_and_activate_system(
    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^
        action=action,
        ^^^^^^^^^^^^^^
    ...<6 lines>...
        grouped_nix_args=grouped_nix_args,
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    )
    ^
  File "/nix/store/0ppazc3p1kv2xly0syps868hzz7kjygb-nixos-rebuild-ng-26.05/lib/python3.13/site-packages/nixos_rebuild/services.py", line 335, in build_and_activate_system
    _activate_system(
    ~~~~~~~~~~~~~~~~^
        path_to_config=path_to_config,
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    ...<6 lines>...
        grouped_nix_args=grouped_nix_args,
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    )
    ^
  File "/nix/store/0ppazc3p1kv2xly0syps868hzz7kjygb-nixos-rebuild-ng-26.05/lib/python3.13/site-packages/nixos_rebuild/services.py", line 236, in _activate_system
    nix.switch_to_configuration(
    ~~~~~~~~~~~~~~~~~~~~~~~~~~~^
        path_to_config,
        ^^^^^^^^^^^^^^^
    ...<4 lines>...
        install_bootloader=args.install_bootloader,
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    )
    ^
  File "/nix/store/0ppazc3p1kv2xly0syps868hzz7kjygb-nixos-rebuild-ng-26.05/lib/python3.13/site-packages/nixos_rebuild/nix.py", line 711, in switch_to_configuration
    run_wrapper(
    ~~~~~~~~~~~^
        [*cmd, path_to_config / "bin/switch-to-configuration", str(action)],
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    ...<12 lines>...
        stdout=sys.stderr,
        ^^^^^^^^^^^^^^^^^^
    )
    ^
  File "/nix/store/0ppazc3p1kv2xly0syps868hzz7kjygb-nixos-rebuild-ng-26.05/lib/python3.13/site-packages/nixos_rebuild/process.py", line 211, in run_wrapper
    r = subprocess.run(
        final_args,
    ...<5 lines>...
        **kwargs,
    )
  File "/nix/store/60m4rxhg2fldqaak400c0lry96ijrzqn-python3-3.13.13/lib/python3.13/subprocess.py", line 577, in run
    raise CalledProcessError(retcode, process.args,
                             output=stdout, stderr=stderr)
subprocess.CalledProcessError: Command '['systemd-run', '-E', 'LOCALE_ARCHIVE', '-E', 'NIXOS_INSTALL_BOOTLOADER', '-E', 'NIXOS_NO_CHECK', '--collect', '--no-ask-password', '--pipe', '--quiet', '--service-type=exec', '--unit=nixos-rebuild-switch-to-configuration', PosixPath('/nix/store/g3pggvs1ml1rghl9s4kh9sm8hgs05zwn-nixos-system-Trinity-26.05.20260530.8c50a71/bin/switch-to-configuration'), 'switch']' returned non-zero exit status 4.
